dataset,sample_id,duration_group,error_rate,metric,hypothesis,reference,reference_full,error_rate_corrected
librispeech,librispeech_1284-1181,long,0.0244,WER,ojo examined this curious contrivance with wonder margolot had first made the girl's form from the patchwork quilt and then she had dressed it with a patchwork skirt and an apron with pockets in it using the same gay material throughout,OJO EXAMINED THIS CURIOUS CONTRIVANCE WITH WONDER MARGOLOTTE HAD FIRST MADE THE GIRL'S FORM FROM THE PATCHWORK QUILT AND,OJO EXAMINED THIS CURIOUS CONTRIVANCE WITH WONDER MARGOLOTTE HAD FIRST MADE THE GIRL'S FORM FROM THE PATCHWORK QUILT AND THEN SHE HAD DRESSED IT WITH A PATCHWORK SKIRT AND AN APRON WITH POCKETS IN IT USING THE SAME GAY MATERIAL THROUGHOUT,0.0244
librispeech,librispeech_1284-134647,long,0.0208,WER,the grateful applause of the clergy has consecrated the memory of a prince who indulged their passions and promoted their interest the edict of milan the great charter of toleration had confirmed to each individual of the roman world the privilege of choosing and professing his own religion You,THE GRATEFUL APPLAUSE OF THE CLERGY HAS CONSECRATED THE MEMORY OF A PRINCE WHO INDULGED THEIR PASSIONS AND PROMOTED THEI,THE GRATEFUL APPLAUSE OF THE CLERGY HAS CONSECRATED THE MEMORY OF A PRINCE WHO INDULGED THEIR PASSIONS AND PROMOTED THEIR INTEREST THE EDICT OF MILAN THE GREAT CHARTER OF TOLERATION HAD CONFIRMED TO EACH INDIVIDUAL OF THE ROMAN WORLD THE PRIVILEGE OF CHOOSING AND PROFESSING HIS OWN RELIGION,0.0208
librispeech,librispeech_1320-122612,long,0.0,WER,"Since the period of our tale, the active spirit of the country has surrounded it with a belt of rich and thriving settlements, though none but the hunter or the savage is ever known even now to penetrate its wild recesses. The dews were suffered to exhale, and the sun had dispersed the mists, and was shedding a strong and clear light in the forest when the travelers resumed their journey.",SINCE THE PERIOD OF OUR TALE THE ACTIVE SPIRIT OF THE COUNTRY HAS SURROUNDED IT WITH A BELT OF RICH AND THRIVING SETTLEM,SINCE THE PERIOD OF OUR TALE THE ACTIVE SPIRIT OF THE COUNTRY HAS SURROUNDED IT WITH A BELT OF RICH AND THRIVING SETTLEMENTS THOUGH NONE BUT THE HUNTER OR THE SAVAGE IS EVER KNOWN EVEN NOW TO PENETRATE ITS WILD RECESSES THE DEWS WERE SUFFERED TO EXHALE AND THE SUN HAD DISPERSED THE MISTS AND WAS SHEDDING A STRONG AND CLEAR LIGHT IN THE FOREST WHEN THE TRAVELERS RESUMED THEIR JOURNEY,0.0
librispeech,librispeech_1320-122617,long,0.0169,WER,"Notwithstanding the high resolution of Hawkeye, he fully comprehended all the difficulties and danger he was about to incur. In his return to the camp, his acute and practiced intellects were intently engaged in devising means to counteract a watchfulness and suspicion on the part of his enemies that he knew were in no degree inferior to his own.",NOTWITHSTANDING THE HIGH RESOLUTION OF HAWKEYE HE FULLY COMPREHENDED ALL THE DIFFICULTIES AND DANGER HE WAS ABOUT TO INC,NOTWITHSTANDING THE HIGH RESOLUTION OF HAWKEYE HE FULLY COMPREHENDED ALL THE DIFFICULTIES AND DANGER HE WAS ABOUT TO INCUR IN HIS RETURN TO THE CAMP HIS ACUTE AND PRACTISED INTELLECTS WERE INTENTLY ENGAGED IN DEVISING MEANS TO COUNTERACT A WATCHFULNESS AND SUSPICION ON THE PART OF HIS ENEMIES THAT HE KNEW WERE IN NO DEGREE INFERIOR TO HIS OWN,0.0169
librispeech,librispeech_1580-141083,long,0.0,WER,i will endeavour in my statement to avoid such terms as would serve to limit the events to any particular place or give a clue as to the people concerned i had always known him to be restless in his manner but on this particular occasion he was in such a state of uncontrollable agitation that it was clear something very unusual had occurred,I WILL ENDEAVOUR IN MY STATEMENT TO AVOID SUCH TERMS AS WOULD SERVE TO LIMIT THE EVENTS TO ANY PARTICULAR PLACE OR GIVE ,I WILL ENDEAVOUR IN MY STATEMENT TO AVOID SUCH TERMS AS WOULD SERVE TO LIMIT THE EVENTS TO ANY PARTICULAR PLACE OR GIVE A CLUE AS TO THE PEOPLE CONCERNED I HAD ALWAYS KNOWN HIM TO BE RESTLESS IN HIS MANNER BUT ON THIS PARTICULAR OCCASION HE WAS IN SUCH A STATE OF UNCONTROLLABLE AGITATION THAT IT WAS CLEAR SOMETHING VERY UNUSUAL HAD OCCURRED,0.0
librispeech,librispeech_1580-141084,long,0.0233,WER,it was the indian whose dark silhouette appeared suddenly upon his blind he was pacing swiftly up and down his room the set of rooms is quite the oldest in the college and it is not unusual for visitors to go over them,IT WAS THE INDIAN WHOSE DARK SILHOUETTE APPEARED SUDDENLY UPON HIS BLIND HE WAS PACING SWIFTLY UP AND DOWN HIS ROOM THIS,IT WAS THE INDIAN WHOSE DARK SILHOUETTE APPEARED SUDDENLY UPON HIS BLIND HE WAS PACING SWIFTLY UP AND DOWN HIS ROOM THIS SET OF ROOMS IS QUITE THE OLDEST IN THE COLLEGE AND IT IS NOT UNUSUAL FOR VISITORS TO GO OVER THEM,0.0233
librispeech,librispeech_1995-1826,long,0.037,WER,"In the debate between the senior societies, her defense of the 15th Amendment had been not only a notable bit of reasoning, but delivered with real enthusiasm. The South she had not thought of seriously, and yet, knowing of its delightful hospitality and mild climate, she was not averse to Charleston or New Orleans.",IN THE DEBATE BETWEEN THE SENIOR SOCIETIES HER DEFENCE OF THE FIFTEENTH AMENDMENT HAD BEEN NOT ONLY A NOTABLE BIT OF REA,IN THE DEBATE BETWEEN THE SENIOR SOCIETIES HER DEFENCE OF THE FIFTEENTH AMENDMENT HAD BEEN NOT ONLY A NOTABLE BIT OF REASONING BUT DELIVERED WITH REAL ENTHUSIASM THE SOUTH SHE HAD NOT THOUGHT OF SERIOUSLY AND YET KNOWING OF ITS DELIGHTFUL HOSPITALITY AND MILD CLIMATE SHE WAS NOT AVERSE TO CHARLESTON OR NEW ORLEANS,0.037
librispeech,librispeech_1995-1836,long,0.0488,WER,the honorable charles smith miss sarah's brother was walking swiftly uptown from mr easterly's wall street office and his face was pale at last the cotton combine was to all appearances an assured fact and he was slated for the senate,THE HON CHARLES SMITH MISS SARAH'S BROTHER WAS WALKING SWIFTLY UPTOWN FROM MISTER EASTERLY'S WALL STREET OFFICE AND HIS ,THE HON CHARLES SMITH MISS SARAH'S BROTHER WAS WALKING SWIFTLY UPTOWN FROM MISTER EASTERLY'S WALL STREET OFFICE AND HIS FACE WAS PALE AT LAST THE COTTON COMBINE WAS TO ALL APPEARANCES AN ASSURED FACT AND HE WAS SLATED FOR THE SENATE,0.0488
librispeech,librispeech_1995-1837,long,0.0,WER,"He knew the silver fleece, his and Zora's, must be ruined. It was the first great sorrow of his life. It was not so much the loss of the cotton itself, but the fantasy, the hopes, the dreams built around it. Ah, the swamp, the cruel swamp.",HE KNEW THE SILVER FLEECE HIS AND ZORA'S MUST BE RUINED IT WAS THE FIRST GREAT SORROW OF HIS LIFE IT WAS NOT SO MUCH THE,HE KNEW THE SILVER FLEECE HIS AND ZORA'S MUST BE RUINED IT WAS THE FIRST GREAT SORROW OF HIS LIFE IT WAS NOT SO MUCH THE LOSS OF THE COTTON ITSELF BUT THE FANTASY THE HOPES THE DREAMS BUILT AROUND IT AH THE SWAMP THE CRUEL SWAMP,0.0
librispeech,librispeech_2094-142345,long,0.0408,WER,"It is a very fine old place of red brick, softened by a pale, powdery lichen, which has dispersed itself with happy irregularity, so as to bring the red brick into terms of friendly companionship with the limestone ornaments surrounding the three gables, the windows, and the doorplace.",IT IS A VERY FINE OLD PLACE OF RED BRICK SOFTENED BY A PALE POWDERY LICHEN WHICH HAS DISPERSED ITSELF WITH HAPPY IRREGUL,IT IS A VERY FINE OLD PLACE OF RED BRICK SOFTENED BY A PALE POWDERY LICHEN WHICH HAS DISPERSED ITSELF WITH HAPPY IRREGULARITY SO AS TO BRING THE RED BRICK INTO TERMS OF FRIENDLY COMPANIONSHIP WITH THE LIMESTONE ORNAMENTS SURROUNDING THE THREE GABLES THE WINDOWS AND THE DOOR PLACE,0.0408
librispeech,librispeech_2300-131720,long,0.0435,WER,"The Paris plant, like that at the Crystal Palace, was a temporary exhibit. The London plant was less temporary, but not permanent, supplying, before it was torn out, no fewer than 3,000 lamps in hotels, churches, stores, and dwellings in the vicinity of Holborn Viaduct.",THE PARIS PLANT LIKE THAT AT THE CRYSTAL PALACE WAS A TEMPORARY EXHIBIT THE LONDON PLANT WAS LESS TEMPORARY BUT NOT PERM,THE PARIS PLANT LIKE THAT AT THE CRYSTAL PALACE WAS A TEMPORARY EXHIBIT THE LONDON PLANT WAS LESS TEMPORARY BUT NOT PERMANENT SUPPLYING BEFORE IT WAS TORN OUT NO FEWER THAN THREE THOUSAND LAMPS IN HOTELS CHURCHES STORES AND DWELLINGS IN THE VICINITY OF HOLBORN VIADUCT,0.0435
librispeech,librispeech_237-126133,long,0.0133,WER,here she would stay comforted and soothed among the lovely plants and rich exotics rejoicing the heart of old turner the gardener who since polly's first rapturous entrance had taken her into his good graces for all time every chance she could steal after practice hours were over and after the clamorous demands of the boys upon her time were fully satisfied was seized to fly on the wings of the wind to the flowers You,HERE SHE WOULD STAY COMFORTED AND SOOTHED AMONG THE LOVELY PLANTS AND RICH EXOTICS REJOICING THE HEART OF OLD TURNER THE,HERE SHE WOULD STAY COMFORTED AND SOOTHED AMONG THE LOVELY PLANTS AND RICH EXOTICS REJOICING THE HEART OF OLD TURNER THE GARDENER WHO SINCE POLLY'S FIRST RAPTUROUS ENTRANCE HAD TAKEN HER INTO HIS GOOD GRACES FOR ALL TIME EVERY CHANCE SHE COULD STEAL AFTER PRACTICE HOURS WERE OVER AND AFTER THE CLAMOROUS DEMANDS OF THE BOYS UPON HER TIME WERE FULLY SATISFIED WAS SEIZED TO FLY ON THE WINGS OF THE WIND TO THE FLOWERS,0.0133
librispeech,librispeech_237-134493,long,0.0377,WER,it is sixteen years since john bergson died his wife now lies beside him and the white shaft that marks their graves gleams across the wheat fields from the norwegian graveyard one looks out over a vast checker-board marked off in squares of wheat and corn light and dark dark and light,IT IS SIXTEEN YEARS SINCE JOHN BERGSON DIED HIS WIFE NOW LIES BESIDE HIM AND THE WHITE SHAFT THAT MARKS THEIR GRAVES GLE,IT IS SIXTEEN YEARS SINCE JOHN BERGSON DIED HIS WIFE NOW LIES BESIDE HIM AND THE WHITE SHAFT THAT MARKS THEIR GRAVES GLEAMS ACROSS THE WHEAT FIELDS FROM THE NORWEGIAN GRAVEYARD ONE LOOKS OUT OVER A VAST CHECKER BOARD MARKED OFF IN SQUARES OF WHEAT AND CORN LIGHT AND DARK DARK AND LIGHT,0.0377
librispeech,librispeech_237-134500,long,0.0,WER,"Frank read English slowly, and the more he read about this divorce case, the angrier he grew. Marie sighed. A brisk wind had come up and was driving puffy white clouds across the sky. The orchard was sparkling and rippling in the sun.",FRANK READ ENGLISH SLOWLY AND THE MORE HE READ ABOUT THIS DIVORCE CASE THE ANGRIER HE GREW MARIE SIGHED A BRISK WIND HAD,FRANK READ ENGLISH SLOWLY AND THE MORE HE READ ABOUT THIS DIVORCE CASE THE ANGRIER HE GREW MARIE SIGHED A BRISK WIND HAD COME UP AND WAS DRIVING PUFFY WHITE CLOUDS ACROSS THE SKY THE ORCHARD WAS SPARKLING AND RIPPLING IN THE SUN,0.0
librispeech,librispeech_260-123286,long,0.0217,WER,"Saturday, August 15. The sea unbroken all round. No land in sight. The horizon seems extremely distant. All my danger and sufferings were needed to strike a spark of human feeling out of him. But now that I am well, his nature has resumed its sway.",SATURDAY AUGUST FIFTEENTH THE SEA UNBROKEN ALL ROUND NO LAND IN SIGHT THE HORIZON SEEMS EXTREMELY DISTANT ALL MY DANGER ,SATURDAY AUGUST FIFTEENTH THE SEA UNBROKEN ALL ROUND NO LAND IN SIGHT THE HORIZON SEEMS EXTREMELY DISTANT ALL MY DANGER AND SUFFERINGS WERE NEEDED TO STRIKE A SPARK OF HUMAN FEELING OUT OF HIM BUT NOW THAT I AM WELL HIS NATURE HAS RESUMED ITS SWAY,0.0217
librispeech,librispeech_260-123288,long,0.0556,WER,"The roarings become lost in the distance. The weather, if we may use the term, will change before long. The atmosphere is charged with vapors, pervaded with the electricity generated by the evaporation of saline waters.",THE ROARINGS BECOME LOST IN THE DISTANCE THE WEATHER IF WE MAY USE THAT TERM WILL CHANGE BEFORE LONG THE ATMOSPHERE IS C,THE ROARINGS BECOME LOST IN THE DISTANCE THE WEATHER IF WE MAY USE THAT TERM WILL CHANGE BEFORE LONG THE ATMOSPHERE IS CHARGED WITH VAPOURS PERVADED WITH THE ELECTRICITY GENERATED BY THE EVAPORATION OF SALINE WATERS,0.0556
librispeech,librispeech_260-123440,long,0.0,WER,and how odd the directions will look poor alice it was the white rabbit returning splendidly dressed with a pair of white kid gloves in one hand and a large fan in the other he came trotting along in a great hurry muttering to himself as he came oh the duchess the duchess,AND HOW ODD THE DIRECTIONS WILL LOOK POOR ALICE IT WAS THE WHITE RABBIT RETURNING SPLENDIDLY DRESSED WITH A PAIR OF WHIT,AND HOW ODD THE DIRECTIONS WILL LOOK POOR ALICE IT WAS THE WHITE RABBIT RETURNING SPLENDIDLY DRESSED WITH A PAIR OF WHITE KID GLOVES IN ONE HAND AND A LARGE FAN IN THE OTHER HE CAME TROTTING ALONG IN A GREAT HURRY MUTTERING TO HIMSELF AS HE CAME OH THE DUCHESS THE DUCHESS,0.0
librispeech,librispeech_2830-3979,long,0.0,WER,"We want you to help us publish some leading work of Luther's for the general American market. Will you do it? The condition is that I will be permitted to make Luther talk American. Streamline him, so to speak, because you will never get people, whether in or outside the Lutheran church, actually to read Luther unless we make him talk as he would talk today to Americans.",WE WANT YOU TO HELP US PUBLISH SOME LEADING WORK OF LUTHER'S FOR THE GENERAL AMERICAN MARKET WILL YOU DO IT THE CONDITIO,WE WANT YOU TO HELP US PUBLISH SOME LEADING WORK OF LUTHER'S FOR THE GENERAL AMERICAN MARKET WILL YOU DO IT THE CONDITION IS THAT I WILL BE PERMITTED TO MAKE LUTHER TALK AMERICAN STREAMLINE HIM SO TO SPEAK BECAUSE YOU WILL NEVER GET PEOPLE WHETHER IN OR OUTSIDE THE LUTHERAN CHURCH ACTUALLY TO READ LUTHER UNLESS WE MAKE HIM TALK AS HE WOULD TALK TODAY TO AMERICANS,0.0
librispeech,librispeech_2830-3980,long,0.0192,WER,"In every way, they sought to undermine the authority of St. Paul. They said to the Galatians, You have no right to think highly of Paul. He was the last to turn to Christ. Paul came later and is beneath us. Indeed, he persecuted the Church of Christ for a long time.",IN EVERY WAY THEY SOUGHT TO UNDERMINE THE AUTHORITY OF SAINT PAUL THEY SAID TO THE GALATIANS YOU HAVE NO RIGHT TO THINK ,IN EVERY WAY THEY SOUGHT TO UNDERMINE THE AUTHORITY OF SAINT PAUL THEY SAID TO THE GALATIANS YOU HAVE NO RIGHT TO THINK HIGHLY OF PAUL HE WAS THE LAST TO TURN TO CHRIST PAUL CAME LATER AND IS BENEATH US INDEED HE PERSECUTED THE CHURCH OF CHRIST FOR A LONG TIME,0.0192
librispeech,librispeech_2961-960,long,0.0,WER,he passes abruptly from persons to ideas and numbers and from ideas and numbers to persons from the heavens to man from astronomy to physiology he confuses or rather does not distinguish subject and object first and final causes and is dreaming of geometrical figures lost in a flux of sense,HE PASSES ABRUPTLY FROM PERSONS TO IDEAS AND NUMBERS AND FROM IDEAS AND NUMBERS TO PERSONS FROM THE HEAVENS TO MAN FROM ,HE PASSES ABRUPTLY FROM PERSONS TO IDEAS AND NUMBERS AND FROM IDEAS AND NUMBERS TO PERSONS FROM THE HEAVENS TO MAN FROM ASTRONOMY TO PHYSIOLOGY HE CONFUSES OR RATHER DOES NOT DISTINGUISH SUBJECT AND OBJECT FIRST AND FINAL CAUSES AND IS DREAMING OF GEOMETRICAL FIGURES LOST IN A FLUX OF SENSE,0.0
librispeech,librispeech_2961-961,very_long,0.0123,WER,socrates begins the timaeus with a summary of the republic and now he desires to see the ideal state set in motion he would like to know how she behaved in some great struggle and therefore to you i turn timaeus citizen of locus who are at once a philosopher and a statesman and to you critias whom all athenians know to be similarly accomplished and to hermocrates who is also fitted by nature and education to share in our discourse,SOCRATES BEGINS THE TIMAEUS WITH A SUMMARY OF THE REPUBLIC AND NOW HE DESIRES TO SEE THE IDEAL STATE SET IN MOTION HE WO,SOCRATES BEGINS THE TIMAEUS WITH A SUMMARY OF THE REPUBLIC AND NOW HE DESIRES TO SEE THE IDEAL STATE SET IN MOTION HE WOULD LIKE TO KNOW HOW SHE BEHAVED IN SOME GREAT STRUGGLE AND THEREFORE TO YOU I TURN TIMAEUS CITIZEN OF LOCRIS WHO ARE AT ONCE A PHILOSOPHER AND A STATESMAN AND TO YOU CRITIAS WHOM ALL ATHENIANS KNOW TO BE SIMILARLY ACCOMPLISHED AND TO HERMOCRATES WHO IS ALSO FITTED BY NATURE AND EDUCATION TO SHARE IN OUR DISCOURSE,0.0123
librispeech,librispeech_3570-5694,very_long,0.0213,WER,"But already at a point in economic evolution far ante-dating the emergence of the lady, specialised consumption of goods as an evidence of pecuniary strength had begun to work out in a more or less elaborate system. The utility of consumption as an evidence of wealth is to be classed as a derivative growth. Such consumption as falls to the women is merely incidental to their work. It is a means to their continued labour, and not a consumption directed to their own comfort and fullness of life. With a further advance in culture, this taboo may change into simple custom of a more or less rigorous character, but whatever be the theoretical basis of the distinction which is maintained, whether it be a taboo or a larger conventionality, the features of the conventional scheme of consumption do not change easily.",BUT ALREADY AT A POINT IN ECONOMIC EVOLUTION FAR ANTEDATING THE EMERGENCE OF THE LADY SPECIALISED CONSUMPTION OF GOODS A,BUT ALREADY AT A POINT IN ECONOMIC EVOLUTION FAR ANTEDATING THE EMERGENCE OF THE LADY SPECIALISED CONSUMPTION OF GOODS AS AN EVIDENCE OF PECUNIARY STRENGTH HAD BEGUN TO WORK OUT IN A MORE OR LESS ELABORATE SYSTEM THE UTILITY OF CONSUMPTION AS AN EVIDENCE OF WEALTH IS TO BE CLASSED AS A DERIVATIVE GROWTH SUCH CONSUMPTION AS FALLS TO THE WOMEN IS MERELY INCIDENTAL TO THEIR WORK IT IS A MEANS TO THEIR CONTINUED LABOUR AND NOT A CONSUMPTION DIRECTED TO THEIR OWN COMFORT AND FULNESS OF LIFE WITH A FURTHER ADVANCE IN CULTURE THIS TABU MAY CHANGE INTO SIMPLE CUSTOM OF A MORE OR LESS RIGOROUS CHARACTER BUT WHATEVER BE THE THEORETICAL BASIS OF THE DISTINCTION WHICH IS MAINTAINED WHETHER IT BE A TABU OR A LARGER CONVENTIONALITY THE FEATURES OF THE CONVENTIONAL SCHEME OF CONSUMPTION DO NOT CHANGE EASILY,0.0213
librispeech,librispeech_3570-5695,very_long,0.0,WER,"In a general way, though not wholly nor consistently, these two groups coincide. The dependent who was first delegated for these duties was the wife, or the chief wife, and, as would be expected in the later development of the institution, when the number of persons by whom these duties are customarily performed gradually narrows, the wife remains the last. But as we descend the social scale, the point is presently reached, where the duties of vicarious leisure and consumption devolve upon the wife alone. In the communities of the Western culture, this point is at present found among the lower middle class.",IN A GENERAL WAY THOUGH NOT WHOLLY NOR CONSISTENTLY THESE TWO GROUPS COINCIDE THE DEPENDENT WHO WAS FIRST DELEGATED FOR ,IN A GENERAL WAY THOUGH NOT WHOLLY NOR CONSISTENTLY THESE TWO GROUPS COINCIDE THE DEPENDENT WHO WAS FIRST DELEGATED FOR THESE DUTIES WAS THE WIFE OR THE CHIEF WIFE AND AS WOULD BE EXPECTED IN THE LATER DEVELOPMENT OF THE INSTITUTION WHEN THE NUMBER OF PERSONS BY WHOM THESE DUTIES ARE CUSTOMARILY PERFORMED GRADUALLY NARROWS THE WIFE REMAINS THE LAST BUT AS WE DESCEND THE SOCIAL SCALE THE POINT IS PRESENTLY REACHED WHERE THE DUTIES OF VICARIOUS LEISURE AND CONSUMPTION DEVOLVE UPON THE WIFE ALONE IN THE COMMUNITIES OF THE WESTERN CULTURE THIS POINT IS AT PRESENT FOUND AMONG THE LOWER MIDDLE CLASS,0.0
