dataset,sample_id,duration_group,error_rate,metric,hypothesis,reference
librispeech,librispeech_1284-1181,long,0.0244,WER,ojo examined this curious contrivance with wonder margolot had first made the girl's form from the patchwork quilt and then she had dressed it with a patchwork skirt and an apron with pockets in it using the same gay material throughout,OJO EXAMINED THIS CURIOUS CONTRIVANCE WITH WONDER MARGOLOTTE HAD FIRST MADE THE GIRL'S FORM FROM THE PATCHWORK QUILT AND
librispeech,librispeech_1284-134647,long,0.0208,WER,the grateful applause of the clergy has consecrated the memory of a prince who indulged their passions and promoted their interest the edict of milan the great charter of toleration had confirmed to each individual of the roman world the privilege of choosing and professing his own religion You,THE GRATEFUL APPLAUSE OF THE CLERGY HAS CONSECRATED THE MEMORY OF A PRINCE WHO INDULGED THEIR PASSIONS AND PROMOTED THEI
librispeech,librispeech_1320-122612,long,0.0,WER,"Since the period of our tale, the active spirit of the country has surrounded it with a belt of rich and thriving settlements, though none but the hunter or the savage is ever known even now to penetrate its wild recesses. The dews were suffered to exhale, and the sun had dispersed the mists, and was shedding a strong and clear light in the forest when the travelers resumed their journey.",SINCE THE PERIOD OF OUR TALE THE ACTIVE SPIRIT OF THE COUNTRY HAS SURROUNDED IT WITH A BELT OF RICH AND THRIVING SETTLEM
librispeech,librispeech_1320-122617,long,0.0169,WER,"Notwithstanding the high resolution of Hawkeye, he fully comprehended all the difficulties and danger he was about to incur. In his return to the camp, his acute and practiced intellects were intently engaged in devising means to counteract a watchfulness and suspicion on the part of his enemies that he knew were in no degree inferior to his own.",NOTWITHSTANDING THE HIGH RESOLUTION OF HAWKEYE HE FULLY COMPREHENDED ALL THE DIFFICULTIES AND DANGER HE WAS ABOUT TO INC
librispeech,librispeech_1580-141083,long,0.0,WER,i will endeavour in my statement to avoid such terms as would serve to limit the events to any particular place or give a clue as to the people concerned i had always known him to be restless in his manner but on this particular occasion he was in such a state of uncontrollable agitation that it was clear something very unusual had occurred,I WILL ENDEAVOUR IN MY STATEMENT TO AVOID SUCH TERMS AS WOULD SERVE TO LIMIT THE EVENTS TO ANY PARTICULAR PLACE OR GIVE 
librispeech,librispeech_1580-141084,long,0.0233,WER,it was the indian whose dark silhouette appeared suddenly upon his blind he was pacing swiftly up and down his room the set of rooms is quite the oldest in the college and it is not unusual for visitors to go over them,IT WAS THE INDIAN WHOSE DARK SILHOUETTE APPEARED SUDDENLY UPON HIS BLIND HE WAS PACING SWIFTLY UP AND DOWN HIS ROOM THIS
librispeech,librispeech_1995-1826,long,0.037,WER,"In the debate between the senior societies, her defense of the 15th Amendment had been not only a notable bit of reasoning, but delivered with real enthusiasm. The South she had not thought of seriously, and yet, knowing of its delightful hospitality and mild climate, she was not averse to Charleston or New Orleans.",IN THE DEBATE BETWEEN THE SENIOR SOCIETIES HER DEFENCE OF THE FIFTEENTH AMENDMENT HAD BEEN NOT ONLY A NOTABLE BIT OF REA
librispeech,librispeech_1995-1836,long,0.0488,WER,the honorable charles smith miss sarah's brother was walking swiftly uptown from mr easterly's wall street office and his face was pale at last the cotton combine was to all appearances an assured fact and he was slated for the senate,THE HON CHARLES SMITH MISS SARAH'S BROTHER WAS WALKING SWIFTLY UPTOWN FROM MISTER EASTERLY'S WALL STREET OFFICE AND HIS 
librispeech,librispeech_1995-1837,long,0.0,WER,"He knew the silver fleece, his and Zora's, must be ruined. It was the first great sorrow of his life. It was not so much the loss of the cotton itself, but the fantasy, the hopes, the dreams built around it. Ah, the swamp, the cruel swamp.",HE KNEW THE SILVER FLEECE HIS AND ZORA'S MUST BE RUINED IT WAS THE FIRST GREAT SORROW OF HIS LIFE IT WAS NOT SO MUCH THE
librispeech,librispeech_2094-142345,long,0.0408,WER,"It is a very fine old place of red brick, softened by a pale, powdery lichen, which has dispersed itself with happy irregularity, so as to bring the red brick into terms of friendly companionship with the limestone ornaments surrounding the three gables, the windows, and the doorplace.",IT IS A VERY FINE OLD PLACE OF RED BRICK SOFTENED BY A PALE POWDERY LICHEN WHICH HAS DISPERSED ITSELF WITH HAPPY IRREGUL
librispeech,librispeech_2300-131720,long,0.0435,WER,"The Paris plant, like that at the Crystal Palace, was a temporary exhibit. The London plant was less temporary, but not permanent, supplying, before it was torn out, no fewer than 3,000 lamps in hotels, churches, stores, and dwellings in the vicinity of Holborn Viaduct.",THE PARIS PLANT LIKE THAT AT THE CRYSTAL PALACE WAS A TEMPORARY EXHIBIT THE LONDON PLANT WAS LESS TEMPORARY BUT NOT PERM
librispeech,librispeech_237-126133,long,0.0133,WER,here she would stay comforted and soothed among the lovely plants and rich exotics rejoicing the heart of old turner the gardener who since polly's first rapturous entrance had taken her into his good graces for all time every chance she could steal after practice hours were over and after the clamorous demands of the boys upon her time were fully satisfied was seized to fly on the wings of the wind to the flowers You,HERE SHE WOULD STAY COMFORTED AND SOOTHED AMONG THE LOVELY PLANTS AND RICH EXOTICS REJOICING THE HEART OF OLD TURNER THE
librispeech,librispeech_237-134493,long,0.0377,WER,it is sixteen years since john bergson died his wife now lies beside him and the white shaft that marks their graves gleams across the wheat fields from the norwegian graveyard one looks out over a vast checker-board marked off in squares of wheat and corn light and dark dark and light,IT IS SIXTEEN YEARS SINCE JOHN BERGSON DIED HIS WIFE NOW LIES BESIDE HIM AND THE WHITE SHAFT THAT MARKS THEIR GRAVES GLE
librispeech,librispeech_237-134500,long,0.0,WER,"Frank read English slowly, and the more he read about this divorce case, the angrier he grew. Marie sighed. A brisk wind had come up and was driving puffy white clouds across the sky. The orchard was sparkling and rippling in the sun.",FRANK READ ENGLISH SLOWLY AND THE MORE HE READ ABOUT THIS DIVORCE CASE THE ANGRIER HE GREW MARIE SIGHED A BRISK WIND HAD
librispeech,librispeech_260-123286,long,0.0217,WER,"Saturday, August 15. The sea unbroken all round. No land in sight. The horizon seems extremely distant. All my danger and sufferings were needed to strike a spark of human feeling out of him. But now that I am well, his nature has resumed its sway.",SATURDAY AUGUST FIFTEENTH THE SEA UNBROKEN ALL ROUND NO LAND IN SIGHT THE HORIZON SEEMS EXTREMELY DISTANT ALL MY DANGER 
librispeech,librispeech_260-123288,long,0.0556,WER,"The roarings become lost in the distance. The weather, if we may use the term, will change before long. The atmosphere is charged with vapors, pervaded with the electricity generated by the evaporation of saline waters.",THE ROARINGS BECOME LOST IN THE DISTANCE THE WEATHER IF WE MAY USE THAT TERM WILL CHANGE BEFORE LONG THE ATMOSPHERE IS C
librispeech,librispeech_260-123440,long,0.0,WER,and how odd the directions will look poor alice it was the white rabbit returning splendidly dressed with a pair of white kid gloves in one hand and a large fan in the other he came trotting along in a great hurry muttering to himself as he came oh the duchess the duchess,AND HOW ODD THE DIRECTIONS WILL LOOK POOR ALICE IT WAS THE WHITE RABBIT RETURNING SPLENDIDLY DRESSED WITH A PAIR OF WHIT
librispeech,librispeech_2830-3979,long,0.0,WER,"We want you to help us publish some leading work of Luther's for the general American market. Will you do it? The condition is that I will be permitted to make Luther talk American. Streamline him, so to speak, because you will never get people, whether in or outside the Lutheran church, actually to read Luther unless we make him talk as he would talk today to Americans.",WE WANT YOU TO HELP US PUBLISH SOME LEADING WORK OF LUTHER'S FOR THE GENERAL AMERICAN MARKET WILL YOU DO IT THE CONDITIO
librispeech,librispeech_2830-3980,long,0.0192,WER,"In every way, they sought to undermine the authority of St. Paul. They said to the Galatians, You have no right to think highly of Paul. He was the last to turn to Christ. Paul came later and is beneath us. Indeed, he persecuted the Church of Christ for a long time.",IN EVERY WAY THEY SOUGHT TO UNDERMINE THE AUTHORITY OF SAINT PAUL THEY SAID TO THE GALATIANS YOU HAVE NO RIGHT TO THINK 
librispeech,librispeech_2961-960,long,0.0,WER,he passes abruptly from persons to ideas and numbers and from ideas and numbers to persons from the heavens to man from astronomy to physiology he confuses or rather does not distinguish subject and object first and final causes and is dreaming of geometrical figures lost in a flux of sense,HE PASSES ABRUPTLY FROM PERSONS TO IDEAS AND NUMBERS AND FROM IDEAS AND NUMBERS TO PERSONS FROM THE HEAVENS TO MAN FROM 
librispeech,librispeech_2961-961,very_long,0.0123,WER,socrates begins the timaeus with a summary of the republic and now he desires to see the ideal state set in motion he would like to know how she behaved in some great struggle and therefore to you i turn timaeus citizen of locus who are at once a philosopher and a statesman and to you critias whom all athenians know to be similarly accomplished and to hermocrates who is also fitted by nature and education to share in our discourse,SOCRATES BEGINS THE TIMAEUS WITH A SUMMARY OF THE REPUBLIC AND NOW HE DESIRES TO SEE THE IDEAL STATE SET IN MOTION HE WO
librispeech,librispeech_3570-5694,very_long,0.0213,WER,"But already at a point in economic evolution far ante-dating the emergence of the lady, specialised consumption of goods as an evidence of pecuniary strength had begun to work out in a more or less elaborate system. The utility of consumption as an evidence of wealth is to be classed as a derivative growth. Such consumption as falls to the women is merely incidental to their work. It is a means to their continued labour, and not a consumption directed to their own comfort and fullness of life. With a further advance in culture, this taboo may change into simple custom of a more or less rigorous character, but whatever be the theoretical basis of the distinction which is maintained, whether it be a taboo or a larger conventionality, the features of the conventional scheme of consumption do not change easily.",BUT ALREADY AT A POINT IN ECONOMIC EVOLUTION FAR ANTEDATING THE EMERGENCE OF THE LADY SPECIALISED CONSUMPTION OF GOODS A
librispeech,librispeech_3570-5695,very_long,0.0,WER,"In a general way, though not wholly nor consistently, these two groups coincide. The dependent who was first delegated for these duties was the wife, or the chief wife, and, as would be expected in the later development of the institution, when the number of persons by whom these duties are customarily performed gradually narrows, the wife remains the last. But as we descend the social scale, the point is presently reached, where the duties of vicarious leisure and consumption devolve upon the wife alone. In the communities of the Western culture, this point is at present found among the lower middle class.",IN A GENERAL WAY THOUGH NOT WHOLLY NOR CONSISTENTLY THESE TWO GROUPS COINCIDE THE DEPENDENT WHO WAS FIRST DELEGATED FOR 
librispeech,librispeech_3570-5696,very_long,0.0273,WER,"Under the simple test of effectiveness for advertising, we should expect to find leisure and the conspicuous consumption of goods dividing the field of pecuniary emulation pretty evenly between them at the outset. But the actual course of development has been somewhat different from this ideal scheme. Leisure held the first place at the start and came to hold a rank very much above wasteful consumption of goods, both as a direct exponent of wealth and as an element in the standard of decency during the quasi-peaceful culture. Other circumstances permitting, that instinct disposes men to look with favour upon productive efficiency and on whatever is of human use.",UNDER THE SIMPLE TEST OF EFFECTIVENESS FOR ADVERTISING WE SHOULD EXPECT TO FIND LEISURE AND THE CONSPICUOUS CONSUMPTION 
librispeech,librispeech_3575-170457,very_long,0.0526,WER,"And often has my mother said, while on her lap I laid my head, she feared for time I was not made, but for eternity. Why are we to be denied each other's society? Why are we to be divided? Surely it must be because we're in danger of loving each other too well, of losing sight of the creator and idolatry of the creature. We used to dispute about politics and religion. she a torian clergyman's daughter was always in a minority of one in our house of violent dissent and radicalism",AND OFTEN HAS MY MOTHER SAID WHILE ON HER LAP I LAID MY HEAD SHE FEARED FOR TIME I WAS NOT MADE BUT FOR ETERNITY WHY ARE
librispeech,librispeech_3729-6852,very_long,0.023,WER,"To celebrate the arrival of her son, Sylvia gave a splendid supper to which she had invited all her relatives, and it was a good opportunity for me to make their acquaintance. Without saying it positively, she made me understand that being herself an illustrious member of the Republic of Letters, she was well aware that she was speaking to an insect. In order to please her, I spoke to her of the Abbey Conti, and I had occasion to quote two lines of that profound writer.",TO CELEBRATE THE ARRIVAL OF HER SON SILVIA GAVE A SPLENDID SUPPER TO WHICH SHE HAD INVITED ALL HER RELATIVES AND IT WAS 
librispeech,librispeech_4077-13751,very_long,0.0721,WER,"On the 6th of April, 1830, the Church of Jesus Christ of Latter-day Saints was formally organized and thus took on a legal existence. Its origin was small, a germ, an insignificant seed, hardly to be thought of as likely to arouse opposition. Instead of but six regularly affiliated members, and at most two score of adherents, the organization numbers today many hundred thousand souls. In place of a single hamlet, in the smallest corner of which the members could have congregated, there now are about 70 stakes of Zion and about 700 organized wards, each ward and stake with its full complement of officers and priesthood organizations.",ON THE SIXTH OF APRIL EIGHTEEN THIRTY THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS WAS FORMALLY ORGANIZED AND THUS TO
librispeech,librispeech_4077-13754,very_long,0.0,WER,"The army found the people in poverty, and left them in comparative wealth. But a word further concerning the expedition in general. It was through Floyd's advice that Buchanan ordered the military expedition to Utah, ostensibly, to install certain federal officials and to repress an alleged infantile rebellion, which in fact had never come into existence, but in reality to further the interests of the secessionists. Moreover, had the people been inclined to rebellion, what greater opportunity could they have wished?",THE ARMY FOUND THE PEOPLE IN POVERTY AND LEFT THEM IN COMPARATIVE WEALTH BUT A WORD FURTHER CONCERNING THE EXPEDITION IN
librispeech,librispeech_4446-2271,very_long,0.0602,WER,main hall liked alexander because he was an engineer he had preconceived ideas about everything and his idea about americans was that they should be engineers or mechanics it's tremendously well put on too it's been on only two weeks and i've been half a dozen times already do you know alexander main hall looked with perplexity up into the top of the handsome and rubbed his pink cheek with his gloved finger do you know i sometimes think of taking to criticism seriously myself.,MAINHALL LIKED ALEXANDER BECAUSE HE WAS AN ENGINEER HE HAD PRECONCEIVED IDEAS ABOUT EVERYTHING AND HIS IDEA ABOUT AMERIC
librispeech,librispeech_4446-2273,very_long,0.0,WER,"Hilda was very nice to him, and he sat on the edge of his chair, flushed with his conversational efforts, and moving his chin about nervously over his high collar. They asked him to come to see them in Chelsea, and they spoke very tenderly of Hilda. Lamb wouldn't care a great deal about many of them, I fancy. When Bartley arrived at Bedford Square on Sunday evening, Marie, the pretty little French girl, met him at the door and conducted him upstairs. I should never have asked you if Molly had been here, for I remember you don't like English cookery.",HILDA WAS VERY NICE TO HIM AND HE SAT ON THE EDGE OF HIS CHAIR FLUSHED WITH HIS CONVERSATIONAL EFFORTS AND MOVING HIS CH
librispeech,librispeech_4446-2275,very_long,0.0112,WER,"The stop at Queenstown, the tedious passage up the Mercy, were things that he noted dimly through his growing impatience. She blushed and smiled and fumbled his card in her confusion before she ran upstairs. Alexander paced up and down the hallway, buttoning and unbuttoning his overcoat, until she returned and took him up to Hilda's living room. The room was empty when he entered. Alexander did not sit down. I felt it in my bones when I woke this morning that something splendid was going to turn up.",THE STOP AT QUEENSTOWN THE TEDIOUS PASSAGE UP THE MERSEY WERE THINGS THAT HE NOTED DIMLY THROUGH HIS GROWING IMPATIENCE 
librispeech,librispeech_4507-16021,very_long,0.0417,WER,chapter one origin it engenders a whole world la pègre for which read theft and a hell la pègrenne for which read hunger thus idleness is the mother she has a son theft and a daughter hunger what is slang We have never understood this sort of objections.,CHAPTER ONE ORIGIN IT ENGENDERS A WHOLE WORLD LA PEGRE FOR WHICH READ THEFT AND A HELL LA PEGRENNE FOR WHICH READ HUNGER
librispeech,librispeech_4970-29093,very_long,0.027,WER,you'll never dig it out of the astor library to the young american here or elsewhere the paths to fortune are innumerable and all open there is invitation in the air and success in all his wide horizon he has no traditions to bind him or guide him and his impulse is to break away from the occupation his father has followed and make a new way for himself the modest fellow would have liked fame thrust upon him for some worthy achievement it might be for a book or for the skilful management of some great newspaper or for some daring expedition like that of lieutenant strain or dr,YOU'LL NEVER DIG IT OUT OF THE ASTOR LIBRARY TO THE YOUNG AMERICAN HERE OR ELSEWHERE THE PATHS TO FORTUNE ARE INNUMERABL
librispeech,librispeech_4970-29095,very_long,0.0,WER,she was tired of other things she tried this morning an air or two upon the piano sang a simple song in a sweet but slightly metallic voice and then seating herself by the open window read philip's letter well mother said the young student looking up with a shade of impatience i hope thee told the elders that father and i are responsible for the piano and that much as thee loves music thee is never in the room when it is played,SHE WAS TIRED OF OTHER THINGS SHE TRIED THIS MORNING AN AIR OR TWO UPON THE PIANO SANG A SIMPLE SONG IN A SWEET BUT SLIG
librispeech,librispeech_4992-23283,very_long,0.0211,WER,but the more forgetfulness had then prevailed the more powerful was the force of remembrance when she awoke miss milner's health is not good said mrs horton a few minutes after so there is to me added sanford with a sarcastic sneer and yet you must own her behaviour has warranted them has it not been in this particular incoherent and unaccountable not that i know of not one more that i know of he replied with astonishment at what she had insinuated and yet with a perfect assurance that she was in the wrong,BUT THE MORE FORGETFULNESS HAD THEN PREVAILED THE MORE POWERFUL WAS THE FORCE OF REMEMBRANCE WHEN SHE AWOKE MISS MILNER'
librispeech,librispeech_4992-41797,very_long,0.1474,WER,yes dead these four years and a good job for her too well as i say it's an awful queer world they clap all the burglars in jail and the murderers and the wife beaters i allers thought a gentle reproof would be enough punishment for a wife beater cause he probably has a lot of provocation that nobody knows and the firebugs can't think of the right name something like cendiaries and the breakers of the peace and what-not and yet the law has nothing to say to a man like han lord,YES DEAD THESE FOUR YEARS AN A GOOD JOB FOR HER TOO WELL AS I SAY IT'S AN AWFUL QUEER WORLD THEY CLAP ALL THE BURGLARS I
librispeech,librispeech_4992-41806,very_long,0.1034,WER,"Natty Harmon tried the kitchen pump secretly several times during the evening, for the water had to run uphill all the way from the well to the kitchen sink, and he believed this to be a continual miracle that might give out at any moment. Tonight there was no need of extra heat, and there were great ceremonies to be observed in lighting the fires on the hearthstones. they began with the one in the family sitting-room colonel wheeler ralph thurston mr and mrs bill harmon with natty and ruffis mr and mrs popham with digby and lally joy all standing in admiring groups and thrilling with delight at the order of events",NATTY HARMON TRIED THE KITCHEN PUMP SECRETLY SEVERAL TIMES DURING THE EVENING FOR THE WATER HAD TO RUN UP HILL ALL THE W
librispeech,librispeech_5105-28233,very_long,0.0112,WER,"Length of service? Fourteen years, three months, and five days. He seemed born to please without being conscious of the power he possessed. It must be owned, and no one was more ready to confess it than himself, that his literary attainments were by no means of a high order. We don't spin tops, is a favorite saying amongst artillery officers, indicating that they do not shirk their duty by frivolous pursuits. But it must be confessed that Cervodac, being naturally idle, was very much given to spinning tops.",LENGTH OF SERVICE FOURTEEN YEARS THREE MONTHS AND FIVE DAYS HE SEEMED BORN TO PLEASE WITHOUT BEING CONSCIOUS OF THE POWE
librispeech,librispeech_5105-28240,very_long,0.0345,WER,fast as his legs could carry him servidac had made his way to the top of the cliff it was quite true that a vessel was in sight hardly more than six miles from the shore but owing to the increase in the earth's convexity and the consequent limitation of the range of vision the rigging of the topmasts alone was visible above the water exclaimed servidac keeping his eye unmoved at his telescope she is under sail but she is count timoshef's yacht he was right,FAST AS HIS LEGS COULD CARRY HIM SERVADAC HAD MADE HIS WAY TO THE TOP OF THE CLIFF IT WAS QUITE TRUE THAT A VESSEL WAS I
librispeech,librispeech_5105-28241,very_long,0.0273,WER,her sea-going qualities were excellent and would have amply sufficed for a circumnavigation of the globe after an apprenticeship on a merchant ship he had entered the imperial navy and had already reached the rank of lieutenant when the count appointed him to the charge of his own private yacht in which he was accustomed to spend by far the greater part of his time throughout the winter generally cruising in the mediterranean whilst in the summer he visited more northern waters the late astounding events however had rendered prokope manifestly uneasy and not the less so from his consciousness that the count secretly partook of his own anxiety,HER SEA GOING QUALITIES WERE EXCELLENT AND WOULD HAVE AMPLY SUFFICED FOR A CIRCUMNAVIGATION OF THE GLOBE AFTER AN APPREN
librispeech,librispeech_5142-33396,very_long,0.0102,WER,at another time harold asked what is your country olaf have you always been a thrall the thrall's eyes flashed two hundred warriors feasted in his hall and followed him to battle the rest of you off a viking he had three ships these he gave to three of my brothers but i stayed that spring and built me a boat i made her for only twenty oars because i thought few men would follow me for i was young fifteen years old at the prow i carved the head with open mouth and forked tongue thrust out,AT ANOTHER TIME HARALD ASKED WHAT IS YOUR COUNTRY OLAF HAVE YOU ALWAYS BEEN A THRALL THE THRALL'S EYES FLASHED TWO HUNDR
librispeech,librispeech_5142-36377,very_long,0.0179,WER,it was one of the masterly and charming stories of dumas the elder in five minutes i was in a new world and my melancholy room was full of the liveliest french company the sound of an imperative and uncompromising bell recalled me in due time to the regions of reality ambrose met me at the bottom of the stairs and showed me the way to the supper-room she signed to me with a ghostly solemnity to take the vacant place on the left of her father the door opened again while i was still studying the two brothers without i honestly confess being very favorably impressed by either of them,IT WAS ONE OF THE MASTERLY AND CHARMING STORIES OF DUMAS THE ELDER IN FIVE MINUTES I WAS IN A NEW WORLD AND MY MELANCHOL
librispeech,librispeech_5639-40744,very_long,0.0377,WER,"Eleven o'clock had struck. It was a fine, clear night. They were the only persons on the road, and they sauntered leisurely along, to avoid paying the price of fatigue for the recreation provided for the Toledans in the valley or on the banks of their river. Secure, as he thought, in the careful administration of justice in that city and the character of its well-disposed inhabitants, the good Hidalgo was far from thinking that any disaster could befall his family. Rodolfo and his companions, with their faces muffled in their cloaks, stared rudely and insolently at the mother, the daughter, and the servant maid.",ELEVEN O'CLOCK HAD STRUCK IT WAS A FINE CLEAR NIGHT THEY WERE THE ONLY PERSONS ON THE ROAD AND THEY SAUNTERED LEISURELY 
librispeech,librispeech_5683-32865,very_long,0.0476,WER,you know captain lake said lord shelford addressing me he had his hand upon lake's shoulder they are cousins you know we are all cousins whatever lord shelford said miss brandon received it very graciously and even with a momentary smile but her greeting to captain leake was more than usually haughty and frozen and her features i fancied particularly proud and pale,YOU KNOW CAPTAIN LAKE SAID LORD CHELFORD ADDRESSING ME HE HAD HIS HAND UPON LAKE'S SHOULDER THEY ARE COUSINS YOU KNOW WE
librispeech,librispeech_5683-32866,very_long,0.0833,WER,"Miss Lake declined the carriage to-night, and he added something still less complimentary. But don't these very wise things sometimes turn out very foolishly? In the meantime, I had formed a new idea of her. By this time, Lord Chalford and Wilder returned, and, disgusted, rather, with myself, I ruminated on my want of generalship. and he made a little dip of his cane towards Brandon Hall over his shoulder.",MISS LAKE DECLINED THE CARRIAGE TO NIGHT AND HE ADDED SOMETHING STILL LESS COMPLIMENTARY BUT DON'T THESE VERY WISE THING
librispeech,librispeech_5683-32879,very_long,0.0114,WER,"It was not very much past eleven that morning when the pony carriage from Brandon drew up before the little garden wicket of Redmond's farm. Well, she was better, though she had had a bad night. So there came a step and a little rustling of feminine draperies. The small door opened and Rachel entered, with her hand extended and a pale smile of welcome. Women can hide their pain better than we men, and bear it better, too. except when shame drops fire into the dreadful chalice.",IT WAS NOT VERY MUCH PAST ELEVEN THAT MORNING WHEN THE PONY CARRIAGE FROM BRANDON DREW UP BEFORE THE LITTLE GARDEN WICKE
librispeech,librispeech_61-70968,very_long,0.0,WER,"He began a confused complaint against the wizard, who had vanished behind the curtain on the left. Give not so earnest a mind to these mummeries, child, a golden fortune and a happy life. He was like unto my father, in a way, and yet was not my father. Also, there was a stripling page who turned into a maid. This was so sweet a lady, sir, and in some manner I do think she died. But then the picture was gone as quickly as it came.",HE BEGAN A CONFUSED COMPLAINT AGAINST THE WIZARD WHO HAD VANISHED BEHIND THE CURTAIN ON THE LEFT GIVE NOT SO EARNEST A M
librispeech,librispeech_61-70970,very_long,0.0521,WER,young fitzuth had been commanded to his mother's chamber so soon as he had come out from his converse with the squire there befell an anxious interview mistress fitzuth arguing for and against the squire's project in a breath most of all robin thought of his father what would he counsel if for whim you beggar yourself i cannot stay you but take it whilst i live and wear montfiche's shield in the days when my eyes can be rejoiced by so brave a sight for you will ne'er disgrace our stuchin i warrant me,YOUNG FITZOOTH HAD BEEN COMMANDED TO HIS MOTHER'S CHAMBER SO SOON AS HE HAD COME OUT FROM HIS CONVERSE WITH THE SQUIRE T
librispeech,librispeech_672-122797,very_long,0.0482,WER,"Out in the woods stood a nice little fir-tree. The place he had was a very good one. The sun shone on him. As to fresh air, there was enough of that. And round him grew many large-sized comrades, pines as well as firs. He did not think of the warm sun and of the fresh air. He did not care for the little cottage children that ran about and prattled when they were in the woods looking for wild strawberries.",OUT IN THE WOODS STOOD A NICE LITTLE FIR TREE THE PLACE HE HAD WAS A VERY GOOD ONE THE SUN SHONE ON HIM AS TO FRESH AIR 
librispeech,librispeech_6829-68769,very_long,0.044,WER,"Kenneth and Beth refrained from telling the other girls or Uncle John of old Will Rogers' visit, but they got Mr. Watson in the library and questioned him closely about the penalty for forging a check. It was a serious crime indeed, Mr. Watson told them, and Tom Gates bade fair to serve a lengthy term in the state's prison as a consequence of his rash act. I can't see it in that light, said the old lawyer. It was a deliberate theft from his employers to protect a girl he loved.",KENNETH AND BETH REFRAINED FROM TELLING THE OTHER GIRLS OR UNCLE JOHN OF OLD WILL ROGERS'S VISIT BUT THEY GOT MISTER WAT
