sample_id,language,pass_idx,fragment_count,fragments_sha256,prompt_tokens,n_tokens,first_token_latency_ms,response_chars,sentence_end_found,first_sentence_char_idx,first_sentence_token_idx,decode_to_first_sentence_ms,decode_total_ms,tokens_per_s,first_sentence_text,error
multiwoz_PMUL4612_turn4,en,0,6,eabd10ace303ef1d2e3cae023fe008c62a38dfb5f65a6c76e1d11e9690dbbd57,5,112,1.5479400171898305,221,1,62,28,1229.0692079986911,4401.766337978188,25.43538637696066,当然，如果您在市中心寻找意大利餐厅，Don Pasqua e Pizzeria 是一个非常不错的选择，但价格可能会稍微高一些。,
multiwoz_MUL0183_turn4,en,0,8,8d3e1611e7dbc8a0bdb14ad4e1f630d3a26e2fbd03d557d59eec05d12e02531e,5,128,1.666828989982605,228,1,7,4,147.2598830005154,4709.493899019435,27.169525174337064,我理解您的需求。,
crosswoz_11592_turn3,zh,0,10,6c32491fa6202068626fe7410c6bcc9df7ad9549044b36240adb8a534ff66c92,5,128,1.5934990078676492,206,1,2,1,37.02479597995989,5021.886680973694,25.480343390241032,你好！,
multiwoz_MUL0666_turn4,en,0,8,b5c6621c62bf91daa3e565aa575293c54ee03372e2a6032061519055249a742a,5,128,1.5890889917500317,216,1,37,20,773.4153959900141,5157.142893993296,24.81229891806361,根据您的需求，我找到了两个位于Asuri地区的客舍，它们都提供免费停车服务。,
crosswoz_8717_turn3,zh,0,6,5c9e6f3ed7d46c3e45d62e68a1c2aa3796ea175dfe47384e30d27626402b2650,5,128,1.6254780057352036,187,1,2,1,34.99014500994235,5025.78608301701,25.460418039449404,你好！,
multiwoz_PMUL2590_turn5,en,0,6,b6dac399b7795bfbe0f1c7c717f91d4975fc4c44be54312eb9b7a5b523d9e8ee,5,128,1.5458519919775426,225,1,13,7,333.4748320048675,4943.891728005838,25.88244173128489,您好，我可以帮助您查找酒店。,
multiwoz_PMUL2296_turn4,en,0,6,4cea9fca3d5c32c6c8926f3f8a674f9de0d9381c9a631eac64e797c22342e109,5,128,1.6521539946552366,230,1,2,1,34.80893198866397,4436.9871740054805,28.837666352510652,你好！,
multiwoz_MUL0023_turn4,en,0,5,0275db69fe41fc58a12a2d6e84d65bdb45f8db1efd1fff528206e694000521f9,5,128,1.66687901946716,221,1,37,22,743.6338069965132,4360.493248997955,29.343260275540437,是的，Goldenwook 在北区提供中等价位的中国菜，这应该符合您的需求。,
multiwoz_PMUL2130_turn4,en,0,6,b8badcdce9f47190d847117e2ab7fbfe3690015a857ef5ac565be30aed35f719,5,128,1.6945379902608693,220,1,32,18,614.3708240124397,4461.991286021657,28.67585332987321,在南部地区，虽然没有博物馆，但您仍然可以找到许多其他吸引人的景点。,
multiwoz_MUL1330_turn4,en,0,7,a5223d561eff9edea0040fbcd13e3b575d1c0f1bb61bf1d39028a5870e955eb6,5,128,1.6646510048303753,204,1,2,1,34.610877017257735,4466.736522997962,28.64559268865683,你好！,
crosswoz_8907_turn4,zh,0,7,b7078edf5d8d405637606b20f8b984c8b2017e9969b6b237fd026e39724dde16,5,128,1.572262990521267,216,1,2,1,47.45042900322005,6584.045113006141,19.436294684616197,你好！,
crosswoz_11613_turn5,zh,0,8,a64894851337a96b07b971e4fb68b8965e55f242b7f23d6ebe99d518ed17cfd3,5,128,1.603493990842253,194,1,34,22,1399.6946449915413,6249.1549359983765,20.47751507815361,全聚德烤鸭店清华园店是一家非常受欢迎的餐馆，以其传统的北京烤鸭而闻名。,
crosswoz_10382_turn4,zh,0,8,ee55b6a38c996bee3f38d453fe5069f7b4f3cc82e242831e4a146700774487fe,5,128,1.5603039937559515,212,1,45,25,1172.3654180241283,5976.780989003601,21.41062106138553,对于餐馆的选择，中国大饭店确实是一个不错的选择，它既适合朋友聚会，又提供经济实惠的餐饮服务。,
multiwoz_PMUL4612_turn5,en,0,8,d31269bf11438e69814dd0263401ec80d44a15e8dc196b1a8374c397e33341d9,5,99,1.5503869799431413,178,1,58,28,1769.7592150070705,4861.14763902151,20.3590680463057,当然，Don Pasqua Pizzeria 是市中心一家提供意大利美食的优秀选择，价格稍高，但品质和服务都相当出色。,
multiwoz_PMUL1745_turn5,en,0,10,10aa72cba5c16cc441fadc843fd6b0df45712a52f0b892048873d38aeb8dc09f,5,101,1.5825210139155388,157,1,9,6,373.7311690056231,5255.136796011357,19.213504451889765,好的，我来帮你安排。,
multiwoz_PMUL3103_turn5,en,0,7,4ecb662d8574bb81a60b5df302948f1a7e09ecfd69b9670b14c7d5dc6afd26a4,5,128,1.552911999169737,205,1,25,16,795.6093670218252,6914.314131019637,18.50816379259475,根据您的需求，我找到了几个符合您条件的客舍供您选择。,
crosswoz_7701_turn4,zh,0,8,2c424e1892a356d92aa92cbf7329d3e617369521f53ff3bbb6658af0a5db217b,5,128,1.5411549829877913,213,1,2,1,61.71869899844751,5672.699276998173,22.55808535686402,你好！,
crosswoz_9394_turn4,zh,0,9,55b0865ae919740f38cf61764aa1bd695e6c4b25418a26402a56c6b01539981a,5,128,1.6182069957721978,205,1,2,1,57.607908005593345,4743.322861002525,26.976099000107947,你好！,
multiwoz_MUL1215_turn5,en,0,8,4a69054ddcc9b0c388db2e04f5873dfe7dd534b18071cca1b06391bc76f5b1ef,5,128,1.6511320136487484,222,1,18,10,348.98973497911356,4598.375357978512,27.825926715525966,当然，我可以帮助您预订住宿和推荐餐厅。,
crosswoz_8202_turn4,zh,0,10,82f79b183418dcfc0d2b11c32ba9253715ca75918dd202c8e29dd58e5243876e,5,128,1.5473259845748544,204,1,2,1,43.0483230156824,4781.636363011785,26.760419068676377,你好！,
multiwoz_MUL2018_turn5,en,0,9,2db5779640c567f15c2758e784e23851d2a7dba0de7d3f6f69167df9c341264f,5,128,1.6385320050176233,189,1,33,19,662.9742039949633,4551.479271001881,28.112604491688806,你好，我可以帮助你查找周五从伦敦国王十字车站出发到奥斯特的火车信息。,
crosswoz_7652_turn3,zh,0,10,185a27b7b8859d68969bd716d65c4e980b36d9b04ae9efdbafb61a538386f099,5,128,1.6706720052752644,208,1,2,1,36.77276999223977,4580.605401017237,27.93371633664359,你好！,
crosswoz_9577_turn4,zh,0,9,3aff457c4b762b95c73ce72e593e5965e22877f93f9cd18d342761c50c3b88e1,5,128,1.6472800052724779,193,1,2,1,35.014513006899506,4670.943564007757,27.393795920309575,你好！,
multiwoz_MUL1459_turn5,en,0,9,5972407a3456983a06b0a10d7055e63e8b1e49a35976a2ce981db9aaec41dcfb,5,128,1.557869982207194,199,1,29,22,860.5117950064596,4559.46496501565,28.06388054403594,您想预订前往莱斯特的周日火车，从剑桥出发时间在6:45之后。,
crosswoz_12011_turn4,zh,0,12,c49bc38131d2d504428083bd6e700e9262802e60b3b84fb28315568bde73daaf,5,128,1.6698109975550324,199,1,2,1,34.715721994871274,5164.835998992203,24.77496488100412,你好！,
multiwoz_PMUL0085_turn5,en,0,10,0697dac1178be4f4000b0402813df6969a423e4eaf59b50e54e1f29406cd13f5,5,105,1.561308978125453,195,1,41,18,888.5561420174781,4164.573125017341,25.203219354422362,根据您的需求，我为您推荐了位于北部的一家四星级酒店——Home From Home。,
multiwoz_PMUL3103_turn6,en,0,6,77fd8b90db657d8403d767f8a65e7edf0d921e0729f467430553d31e8b9a0451,5,124,1.6686180024407804,194,1,23,13,455.25948697468266,4431.6890299960505,27.969771411512838,根据您的需求，我找到了一个符合您要求的住宿选项。,
crosswoz_10040_turn4,zh,0,10,fd17436c4cf734e058c785ff1798a339f556796e6cc45275a2542dce9495161c,5,128,1.6857869923114777,212,1,2,1,35.76220999821089,4496.194776002085,28.457847692333104,你好！,
crosswoz_98_turn3,zh,0,13,b0902a7d2164323d06755ece50d29e1a2265fae1ae722f1a343aa04f72d7036a,5,101,1.5668989799451083,162,1,2,1,47.39339099614881,3591.2066849996336,28.11198580683343,您好！,
crosswoz_12299_turn4,zh,0,11,0dab5b87297159ba1f9f83b9757d8e20fc63596647322e95015f85db433e114e,5,128,1.6584900149609894,193,1,2,1,35.463925974909216,4509.075846988708,28.376754301390793,你好！,
multiwoz_PMUL1745_turn6,en,0,10,18e893174b7d0e096b57caa8d5b5fa24c7fdffb039843117e4099d7e0c8fbe8b,5,116,1.6595190099906176,169,1,19,14,487.07255799672566,3996.7194570053834,29.0117571885597,您想预订从伦敦国王十字站到剑桥的火车票。,
multiwoz_MUL0183_turn5,en,0,9,d777edca7cfe78fadcbbc57d9590253f5b1420a4c3c458bae695da4765d45351,5,128,1.6122279921546578,206,1,48,28,973.5500419919845,4563.844531017821,28.036625195801204,对于您的需求，我理解您正在寻找一个提供免费停车场的住宿地点，但您提到的区域似乎没有符合要求的酒店。,
crosswoz_11406_turn5,zh,0,12,71b61168d937f947e46903243ee78e7a8691342bce4430064b3369f299a01d19,5,128,1.6767590132076293,188,1,2,1,34.84498799662106,4503.760825988138,28.41011501881937,你好！,
crosswoz_10331_turn4,zh,0,9,aa221bf555e3564cf5697cba372f091fadebbfe263a3d7bb163d856b65612120,5,128,1.6568400023970753,214,1,2,1,35.18616099609062,4489.125017018523,28.5028318175562,你好！,
multiwoz_PMUL4031_turn5,en,0,11,3825d3c3aaa90e469193a43820b1b48ff89dc4c10c01386eaca375cf2e15618b,5,128,1.636907982174307,237,1,33,20,735.089963010978,4627.657860022737,27.64999992756223,好的，根据您的需求，我为您找到了位于市中心的五家中等价位的英国餐厅。,
